# MOEAD_V6 - Hipervolumen promedio por generación
# gen	hv_mean	hv_std	hv_min	hv_max
66	6.2487543752e+00	1.2922755352e-01	5.9543233862e+00	6.3802507009e+00
67	6.2484780915e+00	1.3073473324e-01	5.9485113653e+00	6.3804343315e+00
68	6.2469959832e+00	1.3058204519e-01	5.9485065950e+00	6.3803922522e+00
69	6.2477201585e+00	1.3080305007e-01	5.9487349953e+00	6.3815263706e+00
70	6.2495715617e+00	1.2991612672e-01	5.9476863476e+00	6.3798059055e+00
71	6.2501664211e+00	1.2992070610e-01	5.9481338137e+00	6.3799901731e+00
72	6.2502118468e+00	1.2991358397e-01	5.9479508387e+00	6.3796622809e+00
73	6.2482148026e+00	1.3350393499e-01	5.9330052672e+00	6.3800027368e+00
74	6.2492137789e+00	1.3383995429e-01	5.9329991660e+00	6.3798800456e+00
75	6.2497352858e+00	1.3399107528e-01	5.9333663569e+00	6.3800301324e+00
76	6.2495402657e+00	1.3355650554e-01	5.9334300559e+00	6.3803462638e+00
77	6.2491854059e+00	1.3393176884e-01	5.9322060015e+00	6.3805347223e+00
78	6.2494120420e+00	1.3456584281e-01	5.9322150337e+00	6.3822296374e+00
79	6.2490945451e+00	1.3506792148e-01	5.9322568862e+00	6.3866151532e+00
80	6.2489160611e+00	1.3481594187e-01	5.9322177666e+00	6.3862323591e+00
81	6.2493621215e+00	1.3467273399e-01	5.9322973269e+00	6.3876369450e+00
82	6.2499392847e+00	1.3521021850e-01	5.9322409393e+00	6.3876404817e+00
83	6.2500644774e+00	1.3530278529e-01	5.9322678685e+00	6.3882160552e+00
84	6.2512303302e+00	1.3518005937e-01	5.9323619464e+00	6.3882593226e+00
85	6.2516498960e+00	1.3502733895e-01	5.9323556213e+00	6.3886150174e+00
86	6.2510198820e+00	1.3508015047e-01	5.9322367016e+00	6.3889191110e+00
87	6.2509024881e+00	1.3493234872e-01	5.9322368840e+00	6.3886542466e+00
88	6.2512401061e+00	1.3516749887e-01	5.9322734121e+00	6.3896212934e+00
89	6.2510943924e+00	1.3512465451e-01	5.9322781020e+00	6.3897354627e+00
