1	0.0836217325
2	0.0708195274
3	0.0973259751
4	0.0638779234
5	0.0756077432
6	0.0635789123
7	0.0563556724
8	0.0792482742
9	0.0648845532
10	0.0879479297
11	0.0738511344
12	0.0975201909
13	0.0934963144
14	0.0633599093
15	0.0595238924
16	0.0463796192
17	0.0584558420
18	0.0542295687
19	0.0861020782
20	0.0664085665
21	0.0422618069
22	0.0437278454
23	0.0438585735
24	0.0314052386
25	0.0195973832
26	0.0234596831
27	0.0217166729
28	0.0249532201
29	0.0300545119
30	0.0837706598
31	0.0142348388
32	0.0438004982
33	0.0247911223
34	0.0311068590
35	0.0306814171
36	0.0296427123
37	0.0266720684
38	0.0417045530
39	0.0323294264
40	0.0323994996
41	0.0345534773
42	0.0310661810
43	0.0310283321
44	0.0320768199
45	0.0324128325
46	0.0313207273
47	0.0322845682
48	0.0356354265
49	0.0348757097
50	0.0339404222
51	0.0340249463
52	0.0341304494
53	0.0353551974
54	0.0342893937
55	0.0334445251
56	0.0340976497
57	0.0344361628
58	0.0347045473
59	0.0292654526
60	0.0284970979
61	0.0279694782
62	0.0283687215
63	0.0280307134
64	0.0288375299
65	0.0286446586
66	0.0284385014
67	0.0293708096
68	0.0253403983
69	0.0215574233
70	0.0217818668
71	0.0227935209
72	0.0231020314
73	0.0231360940
74	0.0235397562
75	0.0236640888
76	0.0231416829
77	0.0229998953
78	0.0235873520
79	0.0237994283
80	0.0237781641
81	0.0238347723
82	0.0236762118
83	0.0236788619
84	0.0272639831
85	0.0278131757
86	0.0272032279
87	0.0273414634
88	0.0270111581
89	0.0268464831
90	0.0270391550
91	0.0272553871
92	0.0274507622
93	0.0271245938
94	0.0289933151
95	0.0271515600
96	0.0299763492
97	0.0284305282
98	0.0273745416
99	0.0266653239
100	0.0265212834
